NBN Atlas record ID,Scientific name,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date year,Locality,OSGR,Latitude,Longitude,Coordinate uncertainty_m,Identification verification status,Vitality
bc0a7b9d-6b33-4f97-a07f-cbb2601be850,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,AB51 7JB,NJ669191,57.26156819,-2.548787359,100,Accepted,
bab70047-f8c0-4bd5-b421-de79687fff0a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Glenarm estate,NW46186983,54.958309,-5.966158,50,Accepted,
ba8ebe94-f0ff-4317-81ba-0b3886765a86,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Lochgoilhead, United Kingdom",NN2009401359,56.17092611,-4.898147853,1,Accepted,
b9f01e35-63a3-48c6-af96-aa4a885dfc65,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Woodland behind Earlspark Crescent,NJ878032,57.11975827,-2.201497428,100,Accepted,
b948caaf-b728-417b-8af0-8a1d83f6b7ae,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Durris Wood(Maryculter),NO8624799109,57.08296056,-2.226922154,1,Accepted,
b91b97ed-9132-42d2-9d45-85cf4e7f58db,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Killin, Killin, Stirling FK21 8TS, UK",NN57293415,56.47791294,-4.317342377,10,Accepted,
b8e74a66-9059-4b12-84ab-964398864d70,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Elgin, Elgin, Moray IV30 8QX, UK",NJ292577,57.60398252,-3.18488295,100,Accepted,
b8bfcb18-40a2-42a5-8b80-084bc6a28ccd,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NU03,55.60858,-1.92219,10000,Unconfirmed,
b80883cc-c10d-47e3-bcda-e24a77479e43,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Nethy Bridge,NJ0137221131,57.27037156,-3.635692475,1,Accepted,
b7e906ce-2b6d-4e61-a4a0-9034d32a0e90,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NN985267,56.42202,-3.64624,100,Accepted,
b7ca61aa-8a72-433e-b21d-91c34ce05651,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ18,55.1591,-1.76612,10000,Unconfirmed,
b79d106d-f993-47e3-81a7-5bf6e9905779,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Killadeas,H205540,54.43459,-7.68407,100,Accepted,
b7270ce8-c584-4cbe-8ddb-e62637947b57,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ28,55.1587,-1.60918,10000,Unconfirmed,
b720d7d2-e733-479e-9fbc-fb09683231b2,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Hazlehead,NJ8877705397,57.13952115,-2.185459867,1,Accepted,
b69a044b-6201-412b-940d-09d32ad55e6c,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY0287,55.16753932,-3.538633223,1000,Accepted,
b6816f00-585d-4781-a619-e25bee34a524,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Torness, Inverness, Highland IV2 6TY, UK",NH553287,57.32605395,-4.403558412,100,Accepted,
b62ed6a6-599a-4a86-9210-e3e3a8d56c37,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NT90,55.33902,-2.08038,10000,Unconfirmed,
